ID,L1,L2,L3,N1,N2,N3,LA,NA
C39075,0.3869982,0.414072,0.1989369,0.3869982,0.414072,0.1989369,263.3849313,247.9663344
C39077,0.1887545,0.459992,0.3512546,0.1887545,0.459992,0.3512546,262.919656,248.6989368
C39079,0.2064152,0.431508,0.3620893,0.2064152,0.431508,0.3620893,262.7846152,248.3524256
C39081,0.1737253,0.424462,0.4017995,0.1737253,0.424462,0.4017995,263.8049938,248.204001
C39083,0.164852,0.417336,0.4178219,0.164852,0.417336,0.4178219,263.9607021,248.2815281
C39085,0.1304798,0.363448,0.5060763,0.1304798,0.363448,0.5060763,263.1013813,247.5851611
C39087,0.2005351,0.424109,0.3753677,0.2005351,0.424109,0.3753677,263.1252028,248.5567927
C39089,0.143151,0.385787,0.4710686,0.143151,0.385787,0.4710686,262.5868722,248.2349456
C39091,0.1657034,0.47382,0.3604803,0.1657034,0.47382,0.3604803,262.3437054,247.5870291
C39093,0.1757443,0.355788,0.4684841,0.1757443,0.355788,0.4684841,262.767262,247.7118579
C39095,0.2041576,0.343922,0.4519279,0.2041576,0.343922,0.4519279,263.0480227,247.9520023
C39097,0.1658714,0.427491,0.4066285,0.1658714,0.427491,0.4066285,263.130257,247.8090897
C39099,0.1916535,0.394907,0.4134267,0.1916535,0.394907,0.4134267,262.4682794,247.8280549
C39101,0.2024269,0.434462,0.3631187,0.2024269,0.434462,0.3631187,261.8918461,248.8249035
C39103,0.1057756,0.351855,0.5423573,0.1057756,0.351855,0.5423573,262.6078545,249.1291756
C39105,0.2266351,0.435592,0.3377609,0.2266351,0.435592,0.3377609,263.8801821,247.5914577
C39107,0.1279024,0.463977,0.408119,0.1279024,0.463977,0.408119,262.9993776,248.0136057
C39109,0.1397397,0.383621,0.4766414,0.1397397,0.383621,0.4766414,262.5985556,247.536666
C39111,0.196556,0.488159,0.315295,0.196556,0.488159,0.315295,262.6375095,248.0638005
C39113,0.1823271,0.330282,0.4873727,0.1823271,0.330282,0.4873727,262.8314023,247.8219787
C39115,0.1935896,0.456129,0.3502784,0.1935896,0.456129,0.3502784,262.9501923,248.0837901
C39117,0.1782885,0.4475297,0.3741833,0.1782885,0.4475297,0.3741833,264.0369417,247.7120048
C39119,0.1817319,0.422784,0.3954841,0.1817319,0.422784,0.3954841,263.6391317,248.5419328
C39121,0.2158648,0.48377,0.3003776,0.2158648,0.48377,0.3003776,263.0985811,248.0846959
C39123,0.1418263,0.391845,0.466322,0.1418263,0.391845,0.466322,263.9296495,247.4694301
C39125,0.1610244,0.478354,0.3606296,0.1610244,0.478354,0.3606296,262.950517,247.1496641
C39127,0.2129007,0.442796,0.3443171,0.2129007,0.442796,0.3443171,261.2579936,247.5724238
C39129,0.1796983,0.436836,0.3834642,0.1796983,0.436836,0.3834642,262.8513597,247.8871039
C39131,0.2681555,0.424154,0.3076892,0.2681555,0.424154,0.3076892,262.4578541,248.6038819
C39133,0.118292,0.389169,0.4925334,0.118292,0.389169,0.4925334,263.2870595,247.8358471
C39135,0.1507547,0.443678,0.4055785,0.1507547,0.443678,0.4055785,262.748131,247.6534805
C39137,0.1327645,0.423654,0.4435698,0.1327645,0.423654,0.4435698,263.4517752,248.1053374
C39139,0.1930362,0.419606,0.3873566,0.1930362,0.419606,0.3873566,262.8394529,246.9291125
C39141,0.2088851,0.437098,0.3540236,0.2088851,0.437098,0.3540236,262.0805831,247.2737056
C39143,0.1839261,0.423698,0.3923865,0.1839261,0.423698,0.3923865,263.0466116,247.5390497
C39145,0.221132,0.417377,0.361509,0.221132,0.417377,0.361509,261.5194809,248.4572462
C39147,0.1491503,0.445045,0.4058043,0.1491503,0.445045,0.4058043,262.5178711,250.1026986
C39149,0.1263631,0.433452,0.4401813,0.1263631,0.433452,0.4401813,262.8780523,247.4845001
C39151,0.1614662,0.395658,0.4428537,0.1614662,0.395658,0.4428537,261.8324241,247.8408249
C39153,0.1549498,0.355921,0.4891384,0.1549498,0.355921,0.4891384,262.8453761,247.0297545
C39155,0.1955625,0.446881,0.357559,0.1955625,0.446881,0.357559,263.0556251,247.9462441
C39157,0.1827848,0.457794,0.3594256,0.1827848,0.457794,0.3594256,262.3329376,247.2766099
C39159,0.1199381,0.378383,0.5016801,0.1199381,0.378383,0.5016801,263.7187321,249.3502127
C39161,0.1450483,0.461649,0.3932974,0.1450483,0.461649,0.3932974,262.9618294,247.8922239
C39163,0.253561,0.460574,0.2858626,0.253561,0.460574,0.2858626,263.3969495,247.9862194
C39165,0.0997881,0.31317,0.5870434,0.0997881,0.31317,0.5870434,264.7361951,248.8093227
C39167,0.1468216,0.418473,0.4347146,0.1468216,0.418473,0.4347146,262.6544663,247.5692815
C39169,0.1806339,0.417412,0.4019448,0.1806339,0.417412,0.4019448,263.2347692,250.08016
C39171,0.1827839,0.446641,0.3705833,0.1827839,0.446641,0.3705833,263.6246283,246.8455501
