ID,N3,N3-CL,N3-CU,N3-CV,L1,L1-CL,L1-CU,L1-CV,L2,L2-CL,L2-CU,L2-CV,L3,L3-CL,L3-CU,L3-CV,N1,N1-CL,N1-CU,N1-CV,N2,N2-CL,N2-CU,N2-CV,LA,LA-CL,LA-CU,LA-CV,NA,NA-CL,NA-CU,NA-CV
C21159,0.1821,0.1203,0.2438,0.1703,0.3377,0.2813,0.3944,0.0846,0.4201,0.3479,0.4939,0.0893,0.2423,0.1783,0.3047,0.1294,0.4806,0.4213,0.5579,0.0741,0.3373,0.2541,0.4016,0.1128,242.9536,233.7415,252.1228,0.0193,228.3682,218.5181,238.3828,0.0220
C21171,0.1994,0.1381,0.2530,0.1474,0.2929,0.2431,0.3423,0.0864,0.4284,0.3626,0.4934,0.0780,0.2787,0.2201,0.3337,0.1011,0.4265,0.3733,0.4973,0.0717,0.3741,0.3089,0.4382,0.0864,249.2397,241.7777,256.8776,0.0155,233.8011,225.3888,241.7924,0.0179
C22033,0.3392,0.2827,0.3935,0.0780,0.2344,0.1960,0.2765,0.0875,0.3303,0.2748,0.3843,0.0825,0.4353,0.3876,0.4839,0.0560,0.3770,0.3385,0.4255,0.0586,0.2838,0.2298,0.3356,0.0922,260.2329,252.1320,268.2968,0.0159,240.2144,231.4994,248.7838,0.0184
C22035,0.0314,-0.0447,0.1130,1.2128,0.5062,0.4314,0.5817,0.0750,0.4235,0.3269,0.5210,0.1157,0.0704,-0.0117,0.1523,0.5976,0.7604,0.6872,0.8396,0.0504,0.2083,0.1202,0.2913,0.2100,214.6233,202.7867,226.1386,0.0277,185.8767,173.5837,197.9575,0.0333
C22065,0.0340,-0.0313,0.1104,1.0311,0.4287,0.3628,0.4957,0.0790,0.4556,0.3697,0.5396,0.0932,0.1157,0.0415,0.1904,0.3230,0.6684,0.5939,0.7359,0.0534,0.2976,0.2163,0.3817,0.1388,220.2753,210.6952,229.8561,0.0223,194.3980,184.0448,204.6105,0.0272
C22103,0.4284,0.3697,0.4722,0.0715,0.1691,0.1378,0.2046,0.0990,0.3185,0.2711,0.3630,0.0726,0.5124,0.4694,0.5539,0.0413,0.2498,0.2187,0.2956,0.0886,0.3218,0.2751,0.3715,0.0743,270.0839,262.8335,277.4439,0.0135,257.3521,249.3328,265.3589,0.0158
C22123,0.1274,0.0550,0.2119,0.2950,0.3044,0.2470,0.3682,0.1002,0.4709,0.3914,0.5458,0.0839,0.2248,0.1556,0.2920,0.1544,0.4563,0.3965,0.5255,0.0703,0.4163,0.3344,0.4905,0.0952,239.9676,228.9343,250.1242,0.0220,220.9054,208.7131,231.8696,0.0267
C24003,0.4518,0.3972,0.5027,0.0584,0.1482,0.1138,0.1868,0.1226,0.3000,0.2535,0.3459,0.0783,0.5518,0.5052,0.5953,0.0410,0.2237,0.1851,0.2642,0.0877,0.3245,0.2778,0.3783,0.0737,276.2835,267.8691,284.1878,0.0151,265.4225,256.1912,274.4446,0.0171
C24031,0.5163,0.4618,0.5728,0.0525,0.1660,0.1315,0.2038,0.1108,0.2306,0.1835,0.2775,0.1042,0.6034,0.5571,0.6473,0.0380,0.2261,0.1864,0.2687,0.0880,0.2575,0.2072,0.3082,0.0967,279.4545,271.0195,287.9941,0.0151,269.1677,260.1235,278.4968,0.0171
C24510,0.2443,0.1936,0.3157,0.1319,0.3214,0.2753,0.3691,0.0738,0.3496,0.2893,0.4082,0.0874,0.3290,0.2738,0.3841,0.0842,0.4978,0.4439,0.5485,0.0539,0.2579,0.1999,0.3167,0.1136,248.1269,239.3093,256.8637,0.0177,228.5074,218.8859,238.6243,0.0217
C25017,0.5351,0.4718,0.6120,0.0777,0.1271,0.0927,0.1644,0.1417,0.2599,0.2102,0.3087,0.0961,0.6130,0.5644,0.6610,0.0390,0.1803,0.1297,0.2308,0.1589,0.2846,0.2364,0.3379,0.0950,281.3660,273.4538,289.1797,0.0144,271.0990,262.2912,279.5580,0.0160
C26065,0.4667,0.4189,0.5409,0.0671,0.1603,0.1240,0.1968,0.1164,0.2737,0.2200,0.3253,0.0984,0.5660,0.5170,0.6182,0.0447,0.2546,0.1991,0.2973,0.0896,0.2787,0.2197,0.3263,0.1023,278.5712,271.2244,285.9587,0.0136,263.5327,255.8792,271.4423,0.0151
C26077,0.4588,0.4061,0.5131,0.0586,0.1374,0.1031,0.1696,0.1205,0.2883,0.2404,0.3367,0.0847,0.5743,0.5297,0.6204,0.0398,0.2319,0.1923,0.2719,0.0844,0.3093,0.2587,0.3573,0.0798,278.3145,270.5713,285.7820,0.0138,263.7616,255.6283,271.7913,0.0158
C26113,0.2746,0.2325,0.3354,0.1068,0.1812,0.1479,0.2156,0.0953,0.4200,0.3731,0.4665,0.0571,0.3988,0.3552,0.4435,0.0567,0.2956,0.2531,0.3319,0.0657,0.4299,0.3738,0.4724,0.0612,264.3776,256.9366,272.3352,0.0148,249.6785,240.9934,258.3461,0.0174
C26125,0.5137,0.4698,0.5646,0.0507,0.1175,0.0864,0.1473,0.1294,0.2654,0.2230,0.3086,0.0826,0.6171,0.5758,0.6586,0.0338,0.1888,0.1531,0.2203,0.0896,0.2976,0.2509,0.3421,0.0794,285.1899,278.2066,292.3035,0.0125,273.2734,265.4270,281.0301,0.0147
C26163,0.2878,0.2276,0.3570,0.1304,0.2725,0.2357,0.3085,0.0674,0.3464,0.2970,0.3946,0.0709,0.3811,0.3373,0.4284,0.0606,0.4259,0.3742,0.4633,0.0568,0.2863,0.2299,0.3309,0.0987,257.9263,249.9407,266.5739,0.0164,237.9924,229.3088,247.2716,0.0192
C26165,0.3046,0.2559,0.3642,0.0937,0.1699,0.1363,0.2048,0.1011,0.3989,0.3520,0.4447,0.0595,0.4313,0.3852,0.4764,0.0526,0.2836,0.2361,0.3263,0.0752,0.4118,0.3588,0.4573,0.0616,264.4062,256.2311,272.0147,0.0152,248.6725,239.6069,256.9609,0.0175
C27001,0.3500,0.2961,0.4012,0.0775,0.1519,0.1167,0.1859,0.1140,0.3916,0.3406,0.4413,0.0647,0.4565,0.4116,0.5060,0.0523,0.2434,0.1958,0.2812,0.0817,0.4066,0.3583,0.4600,0.0631,268.7327,260.5438,276.9963,0.0154,257.0056,248.3073,266.1628,0.0176
C27035,0.4289,0.3709,0.4740,0.0663,0.1211,0.0876,0.1552,0.1391,0.3395,0.2931,0.3859,0.0689,0.5394,0.4957,0.5864,0.0419,0.1995,0.1622,0.2399,0.1004,0.3717,0.3260,0.4230,0.0651,274.3670,266.7574,281.9448,0.0140,262.8348,254.1122,271.0670,0.0162
C27045,0.3889,0.3421,0.4382,0.0641,0.1361,0.1031,0.1641,0.1097,0.3672,0.3224,0.4098,0.0596,0.4967,0.4579,0.5417,0.0427,0.2240,0.1865,0.2564,0.0759,0.3871,0.3415,0.4359,0.0634,274.8354,268.1163,282.4012,0.0132,262.7321,255.3182,271.0269,0.0152
C27053,0.5424,0.4961,0.5928,0.0439,0.1335,0.1024,0.1646,0.1175,0.2398,0.1943,0.2808,0.0915,0.6267,0.5874,0.6729,0.0346,0.1964,0.1618,0.2302,0.0866,0.2612,0.2138,0.3044,0.0837,284.6593,278.0665,291.5775,0.0121,273.8871,266.4778,281.3458,0.0140
C27055,0.4201,0.3583,0.4666,0.0645,0.1113,0.0804,0.1433,0.1429,0.3532,0.3065,0.3994,0.0655,0.5354,0.4925,0.5801,0.0410,0.1866,0.1515,0.2276,0.0991,0.3933,0.3475,0.4509,0.0640,275.8338,268.1910,283.0587,0.0139,264.4614,255.7753,272.7526,0.0160
C27141,0.4845,0.4339,0.5317,0.0539,0.0985,0.0657,0.1270,0.1540,0.3120,0.2659,0.3564,0.0736,0.5895,0.5498,0.6380,0.0376,0.1622,0.1196,0.2018,0.1193,0.3534,0.3088,0.4012,0.0659,282.3805,275.6946,289.1096,0.0121,272.4491,264.8044,279.8492,0.0139
C28043,0.2412,0.1925,0.2965,0.1183,0.3265,0.2833,0.3733,0.0694,0.3628,0.3072,0.4200,0.0803,0.3107,0.2596,0.3600,0.0821,0.4904,0.4403,0.5370,0.0512,0.2685,0.2089,0.3259,0.1067,245.2102,237.4359,252.5659,0.0158,227.8576,219.3255,235.6240,0.0182
C28135,0.1209,0.0708,0.1802,0.2295,0.4442,0.3944,0.4972,0.0577,0.3944,0.3315,0.4573,0.0811,0.1613,0.1064,0.2139,0.1696,0.6351,0.5796,0.6953,0.0447,0.2440,0.1831,0.3049,0.1197,224.7340,215.7774,232.9961,0.0194,202.9520,193.1917,212.1098,0.0238
C28161,0.1824,0.1360,0.2532,0.1679,0.3111,0.2717,0.3564,0.0687,0.4156,0.3598,0.4699,0.0668,0.2733,0.2221,0.3215,0.0926,0.4845,0.4352,0.5306,0.0541,0.3331,0.2765,0.3887,0.0816,245.6978,237.2758,254.3741,0.0178,227.0924,218.1149,236.4965,0.0205
C29013,0.2123,0.1664,0.2743,0.1315,0.2167,0.1808,0.2534,0.0849,0.4523,0.4020,0.5039,0.0561,0.3310,0.2833,0.3771,0.0725,0.3373,0.2910,0.3744,0.0708,0.4504,0.3970,0.5032,0.0557,256.1338,248.2732,264.9058,0.0165,242.5444,234.1490,252.3991,0.0191
C29017,0.1685,0.0993,0.2213,0.1674,0.2739,0.2359,0.3169,0.0746,0.4579,0.4027,0.5141,0.0606,0.2682,0.2154,0.3138,0.0923,0.4058,0.3551,0.4479,0.0586,0.4257,0.3721,0.4839,0.0640,246.8981,238.9077,254.4562,0.0158,233.3481,225.0385,241.7368,0.0180
C29031,0.3274,0.2576,0.3728,0.0881,0.1854,0.1543,0.2221,0.0921,0.3563,0.3110,0.4025,0.0649,0.4583,0.4095,0.4968,0.0488,0.3022,0.2629,0.3451,0.0680,0.3704,0.3270,0.4278,0.0719,261.6083,253.9162,268.4310,0.0141,246.6134,238.1773,254.0633,0.0167
C29037,0.3755,0.3294,0.4397,0.0800,0.1450,0.1140,0.1806,0.1156,0.3556,0.3090,0.3990,0.0644,0.4994,0.4571,0.5468,0.0440,0.2312,0.1896,0.2647,0.0908,0.3933,0.3407,0.4386,0.0610,273.5396,266.5566,281.1550,0.0133,260.4677,252.9763,267.9768,0.0146
C29077,0.3878,0.3451,0.4412,0.0689,0.1613,0.1265,0.1985,0.1144,0.3298,0.2794,0.3784,0.0754,0.5090,0.4642,0.5557,0.0462,0.2596,0.2171,0.2973,0.0784,0.3526,0.3013,0.3986,0.0693,271.3031,264.3725,278.2131,0.0130,257.0851,249.3477,264.9279,0.0152
