ID,Total Population,% Male,% Female,% Hispanic,% White,% Black,% Asian,% Native Americans,% Hawaiian/Pacific Islander,% Other,% Less Than High School,% High School/GED,% More Than High School,% Speak English Not Well,% Foreign-Born entered U.S. after 2010,% Foreign-Born entered U.S. 1990-2009,% Foreign-Born entered U.S. after 1990,% Foreign-Born entered U.S. before 1990,% Below 100 Poverty,% Below 150 Poverty,% SNAP/Food Stamps,Median HH Income,% Employed,% Unemployed,% Not in Labor Force,% Management/Professional Occupation,% Service Occupation,% Sales/Office Occupation,% Natural Resources/Construction/Maitanance Occupation,% Military Occupation,% Production/Transportation/Moving Occupation,% No Health Insurance
39061,808703,0.482,0.518,0.030,0.679,0.257,0.025,0.001,0.001,0.037,0.095,0.267,0.638,0.168,0.266,0.440,0.706,0.187,0.170,0.252,0.140,52389.000,0.581,0.045,0.191,0.415,0.176,0.236,0.058,0.000,0.114,0.073
39063,75508,0.493,0.507,0.052,0.926,0.014,0.018,0.001,0.000,0.041,0.075,0.357,0.568,0.156,0.332,0.407,0.740,0.162,0.121,0.199,0.098,52831.000,0.592,0.029,0.180,0.330,0.166,0.196,0.080,0.001,0.226,0.060
39065,31576,0.495,0.505,0.016,0.963,0.007,0.008,0.000,0.000,0.022,0.110,0.477,0.414,0.078,0.136,0.537,0.674,0.068,0.166,0.277,0.137,46404.000,0.537,0.040,0.235,0.275,0.168,0.196,0.073,0.000,0.288,0.096
39067,15397,0.494,0.506,0.009,0.959,0.020,0.005,0.001,0.000,0.014,0.136,0.486,0.378,0.179,0.131,0.250,0.381,0.213,0.157,0.260,0.142,46223.000,0.505,0.025,0.225,0.246,0.170,0.213,0.168,0.000,0.203,0.090
39069,27463,0.494,0.506,0.075,0.946,0.006,0.004,0.002,0.000,0.042,0.076,0.431,0.493,0.039,0.028,0.410,0.438,0.210,0.090,0.162,0.083,58070.000,0.598,0.029,0.155,0.305,0.153,0.170,0.112,0.003,0.257,0.045
39071,43031,0.494,0.506,0.009,0.960,0.014,0.004,0.002,0.000,0.020,0.161,0.447,0.391,0.158,0.089,0.376,0.465,0.242,0.216,0.319,0.197,42333.000,0.487,0.039,0.253,0.275,0.154,0.193,0.122,0.000,0.256,0.095
39073,28547,0.495,0.505,0.006,0.971,0.010,0.002,0.000,0.000,0.016,0.107,0.448,0.445,0.086,0.095,0.146,0.241,0.329,0.142,0.246,0.211,48073.000,0.513,0.043,0.221,0.293,0.188,0.227,0.124,0.000,0.167,0.085
39075,43808,0.499,0.501,0.009,0.985,0.002,0.002,0.000,0.000,0.011,0.418,0.352,0.231,0.061,0.054,0.323,0.378,0.442,0.120,0.205,0.058,58728.000,0.593,0.018,0.210,0.208,0.136,0.183,0.154,0.001,0.317,0.402
39077,58497,0.493,0.507,0.062,0.944,0.016,0.002,0.001,0.000,0.037,0.125,0.465,0.410,0.180,0.107,0.562,0.668,0.264,0.142,0.253,0.151,49710.000,0.565,0.035,0.198,0.239,0.164,0.196,0.125,0.000,0.275,0.084
39079,32624,0.489,0.511,0.010,0.969,0.008,0.001,0.000,0.001,0.021,0.162,0.419,0.419,0.135,0.364,0.226,0.590,0.218,0.206,0.330,0.200,43397.000,0.492,0.064,0.242,0.310,0.157,0.220,0.106,0.000,0.207,0.097
